Age,Gender,Family_History,Company_Size,Tech_Company,Wellness_Program,Anonymity_Protected,Leave_Difficulty,Work_Interfere,Benefits,Care_Options,Comments,Target_Sought_Treatment,Survey_Year
29.0,Female,Yes,26-100,Yes,No,Don't know,Somewhat easy,Rarely,Yes,Not sure,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. ,1,2014
23.0,Male,No,26-100,Yes,Don't know,Don't know,Very easy,Sometimes,Don't know,No,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.,1,2014
32.0,Male,No,6-25,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
46.0,Male,Yes,1-5,Yes,Yes,Yes,Very easy,Sometimes,Yes,Not sure,no comment,0,2014
36.0,Male,Yes,6-25,Yes,Yes,Yes,Somewhat easy,,No,No,no comment,0,2014
29.0,Male,Yes,100-500,Yes,No,No,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
31.0,Male,No,1-5,Yes,No,Yes,Somewhat difficult,Never,No,No,no comment,0,2014
46.0,Male,No,26-100,Yes,No,Don't know,Don't know,Often,Yes,Yes,no comment,1,2014
41.0,Male,No,More than 1000,No,No,Don't know,Don't know,Never,Don't know,No,no comment,1,2014
33.0,Male,Yes,26-100,Yes,Don't know,Yes,Don't know,Rarely,Yes,Not sure,Relatively new job. Ask again later,1,2014
35.0,Male,Yes,More than 1000,No,No,No,Very easy,Sometimes,Yes,Yes,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better,1,2014
33.0,Male,No,1-5,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
35.0,Female,Yes,6-25,Yes,Don't know,Don't know,Don't know,Rarely,Yes,Yes,no comment,1,2014
34.0,Male,No,26-100,Yes,No,Don't know,Somewhat difficult,Sometimes,Don't know,Not sure,no comment,1,2014
37.0,Male,No,6-25,Yes,No,Don't know,Very difficult,Sometimes,No,No,no comment,0,2014
32.0,Male,No,6-25,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
31.0,Male,Yes,1-5,Yes,No,Don't know,Somewhat difficult,Rarely,No,Yes,no comment,0,2014
30.0,Male,Yes,500-1000,Yes,No,Yes,Somewhat easy,Sometimes,Don't know,No,no comment,1,2014
42.0,Male,Yes,26-100,Yes,Yes,Yes,Very easy,Sometimes,Yes,Yes,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.,1,2014
40.0,Female,No,1-5,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
27.0,Male,No,6-25,Yes,No,Don't know,Very easy,Rarely,No,Yes,no comment,1,2014
29.0,Male,No,1-5,Yes,No,Don't know,Very easy,Rarely,No,No,no comment,0,2014
38.0,Male,No,100-500,Yes,No,Don't know,Somewhat easy,,No,Yes,no comment,0,2014
50.0,Male,No,100-500,Yes,No,Don't know,Don't know,,Yes,Yes,no comment,0,2014
35.0,Male,No,More than 1000,Yes,No,Yes,Very easy,Rarely,Yes,Yes,no comment,1,2014
24.0,Male,No,6-25,Yes,No,Don't know,Don't know,Sometimes,No,No,no comment,1,2014
35.0,Male,No,More than 1000,Yes,Don't know,Don't know,Somewhat difficult,,Yes,Not sure,no comment,0,2014
27.0,Male,Yes,1-5,Yes,No,Yes,Very difficult,Sometimes,No,Yes,no comment,1,2014
18.0,Male,No,6-25,Yes,No,Don't know,Somewhat difficult,Often,No,Not sure,no comment,0,2014
30.0,Male,No,26-100,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
38.0,Female,Yes,26-100,Yes,No,Yes,Somewhat easy,Sometimes,Yes,Yes,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.,1,2014
28.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
34.0,Male,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
26.0,Male,No,1-5,Yes,Yes,Don't know,Don't know,Sometimes,No,Yes,no comment,0,2014
30.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Rarely,Yes,No,I just started a new job last week hence a lot of don't know's,1,2014
22.0,Male,Yes,6-25,Yes,No,Yes,Very difficult,Often,No,Yes,no comment,1,2014
33.0,Male,No,100-500,Yes,Don't know,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
31.0,Male,No,100-500,Yes,Don't know,Don't know,Don't know,,Don't know,No,no comment,0,2014
32.0,Male,No,1-5,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
28.0,Male,No,100-500,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
27.0,Male,Yes,26-100,Yes,No,Yes,Don't know,Rarely,Yes,Yes,no comment,1,2014
32.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,,Don't know,No,no comment,0,2014
24.0,Male,Yes,26-100,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
26.0,Male,No,26-100,No,No,Yes,Somewhat easy,,No,No,no comment,0,2014
33.0,Male,Yes,6-25,Yes,No,No,Somewhat difficult,Often,Don't know,No,In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.,1,2014
44.0,Male,Yes,More than 1000,No,No,Don't know,Don't know,Sometimes,Yes,No,no comment,1,2014
26.0,Female,No,26-100,Yes,Yes,Yes,Very easy,Sometimes,Don't know,Not sure,no comment,1,2014
27.0,Male,No,100-500,Yes,No,Don't know,Somewhat easy,Never,Yes,Not sure,no comment,0,2014
26.0,Male,No,26-100,Yes,No,Don't know,Very easy,,No,No,no comment,0,2014
35.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,No,no comment,0,2014
40.0,Male,Yes,More than 1000,Yes,Yes,Don't know,Don't know,Sometimes,Yes,Yes,no comment,0,2014
23.0,Female,Yes,1-5,Yes,No,Don't know,Very easy,Often,No,Not sure,Thanks for doing this research.,1,2014
36.0,Male,No,100-500,Yes,Don't know,Don't know,Don't know,Sometimes,Yes,No,no comment,0,2014
31.0,Female,No,26-100,No,Don't know,Don't know,Don't know,,Don't know,No,no comment,0,2014
34.0,Male,No,1-5,Yes,No,Don't know,Don't know,Rarely,No,No,no comment,0,2014
28.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
34.0,Male,No,6-25,Yes,Don't know,Don't know,Somewhat easy,Never,Don't know,Not sure,no comment,0,2014
23.0,Female,No,More than 1000,Yes,No,Yes,Somewhat difficult,Rarely,Yes,Yes,no comment,0,2014
38.0,Male,No,26-100,Yes,No,Yes,Somewhat easy,,No,No,no comment,0,2014
33.0,Male,No,More than 1000,Yes,Yes,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
19.0,Male,No,1-5,Yes,No,No,Somewhat difficult,,No,Yes,no comment,0,2014
25.0,Male,No,More than 1000,Yes,Yes,Don't know,Don't know,,Yes,Yes,no comment,0,2014
31.0,Male,Yes,1-5,Yes,No,Yes,Somewhat difficult,Sometimes,No,No,no comment,0,2014
32.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat difficult,Sometimes,No,No,no comment,1,2014
28.0,Male,No,6-25,Yes,Don't know,Don't know,Very easy,Never,Don't know,No,no comment,0,2014
38.0,Male,Yes,100-500,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,0,2014
23.0,Male,No,26-100,Yes,Yes,Don't know,Very easy,Never,Yes,Not sure,no comment,0,2014
30.0,Male,No,26-100,No,No,Don't know,Don't know,Never,No,No,no comment,0,2014
27.0,Female,No,1-5,Yes,Yes,Yes,Very easy,Often,Yes,Yes,no comment,1,2014
33.0,Male,Yes,More than 1000,Yes,No,Don't know,Don't know,Never,No,No,no comment,0,2014
31.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
39.0,Male,No,6-25,Yes,No,Don't know,Very difficult,Often,No,No,no comment,1,2014
34.0,Female,Yes,500-1000,Yes,No,Don't know,Don't know,Rarely,Yes,Not sure,no comment,1,2014
29.0,Female,No,26-100,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
32.0,Male,No,500-1000,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
31.0,Male,No,500-1000,Yes,Yes,Yes,Somewhat easy,Never,Yes,Yes,no comment,0,2014
40.0,Male,No,26-100,Yes,No,Yes,Very difficult,Sometimes,No,Yes,no comment,1,2014
34.0,Male,No,26-100,Yes,No,Don't know,Somewhat easy,,Don't know,No,no comment,0,2014
18.0,Other,No,26-100,Yes,No,Yes,Somewhat easy,,Yes,Yes,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.,0,2014
25.0,Female,No,26-100,Yes,No,Don't know,Don't know,Sometimes,Yes,Yes,no comment,1,2014
29.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
24.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat easy,Rarely,Don't know,Not sure,no comment,0,2014
31.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
33.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,No,Yes,no comment,1,2014
30.0,Male,No,1-5,Yes,No,Yes,Somewhat easy,Often,No,Yes,no comment,1,2014
26.0,Female,Yes,26-100,No,No,No,Very difficult,Sometimes,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.,1,2014
44.0,Female,No,100-500,Yes,Don't know,Don't know,Don't know,Never,Yes,Not sure,no comment,0,2014
25.0,Male,Yes,26-100,Yes,Don't know,Don't know,Very easy,,Don't know,No,no comment,0,2014
33.0,Male,Yes,26-100,Yes,Yes,Yes,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
29.0,Male,No,More than 1000,Yes,Yes,Don't know,Somewhat easy,Never,Yes,Not sure,no comment,0,2014
35.0,Male,Yes,6-25,Yes,No,Yes,Somewhat easy,Rarely,Yes,Not sure,no comment,0,2014
35.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,Not sure,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.,1,2014
28.0,Male,Yes,6-25,Yes,No,No,Don't know,Rarely,No,No,no comment,1,2014
34.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Never,Yes,No,no comment,0,2014
32.0,Male,No,26-100,Yes,Yes,Yes,Somewhat difficult,Sometimes,Yes,No,no comment,1,2014
22.0,Male,No,500-1000,Yes,No,Yes,Don't know,Sometimes,Yes,Yes,no comment,1,2014
28.0,Male,No,26-100,Yes,Yes,Yes,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
45.0,Male,Yes,6-25,Yes,No,Yes,Very easy,Rarely,Yes,Yes,no comment,1,2014
32.0,Male,No,100-500,Yes,No,Don't know,Don't know,Never,Yes,Yes,no comment,0,2014
28.0,Male,No,More than 1000,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
26.0,Male,No,6-25,Yes,No,Don't know,Very easy,Never,Don't know,No,no comment,0,2014
21.0,Male,No,1-5,No,No,Yes,Very difficult,Often,No,Yes,no comment,0,2014
27.0,Male,No,6-25,No,Yes,Yes,Very easy,Rarely,Yes,Yes,no comment,0,2014
18.0,Male,No,1-5,Yes,No,Yes,Very easy,Rarely,No,No,no comment,1,2014
35.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
29.0,Male,No,More than 1000,Yes,No,Don't know,Don't know,Never,Yes,Yes,no comment,0,2014
25.0,Male,No,26-100,Yes,No,Don't know,Very easy,,Don't know,No,no comment,0,2014
33.0,Male,Yes,6-25,Yes,Don't know,Yes,Very easy,Sometimes,Don't know,No,no comment,1,2014
36.0,Male,No,6-25,Yes,No,Yes,Don't know,Often,Yes,No,no comment,0,2014
27.0,Male,No,100-500,No,No,Don't know,Very difficult,Never,Yes,Not sure,no comment,1,2014
27.0,Male,Yes,500-1000,Yes,Yes,Yes,Don't know,Never,Yes,No,no comment,0,2014
27.0,Male,No,6-25,Yes,No,Don't know,Don't know,,No,No,no comment,0,2014
32.0,Male,No,100-500,Yes,No,Yes,Don't know,Rarely,Yes,Yes,no comment,1,2014
31.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,No,No,no comment,0,2014
19.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,No,no comment,1,2014
33.0,Male,Yes,More than 1000,Yes,No,Don't know,Very easy,Sometimes,Yes,Yes,no comment,1,2014
32.0,Male,No,1-5,Yes,No,Don't know,Very difficult,Rarely,No,Yes,no comment,0,2014
27.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
38.0,Male,No,26-100,Yes,No,Yes,Somewhat easy,,No,Yes,no comment,0,2014
24.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,Don't know,No,no comment,1,2014
39.0,Male,No,26-100,No,No,Don't know,Don't know,Never,No,No,no comment,0,2014
28.0,Male,No,6-25,Yes,No,Yes,Very easy,Never,Don't know,No,no comment,0,2014
39.0,Male,No,More than 1000,Yes,No,Don't know,Somewhat easy,Often,Yes,Not sure,no comment,1,2014
29.0,Female,No,6-25,Yes,No,Don't know,Somewhat easy,,Don't know,No,no comment,0,2014
22.0,Male,No,6-25,Yes,Don't know,Don't know,Somewhat easy,,Don't know,No,no comment,0,2014
38.0,Male,Yes,100-500,Yes,Don't know,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
37.0,Male,No,More than 1000,No,Yes,Yes,Very difficult,Sometimes,No,Yes,I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.,1,2014
35.0,Male,No,26-100,No,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
,Male,No,More than 1000,No,Don't know,Don't know,Don't know,,Yes,No,no comment,0,2014
30.0,Female,Yes,More than 1000,Yes,No,Don't know,Don't know,,Don't know,Not sure,I'd be more worried about coworkers and workplace culture than the employer--they're probably legally obligated to do some things but reputation among people I work with is something else. For instance I've heard people make snide remarks about men taking paternity leave I don't want to know what they'd say about mental health leave.,0,2014
37.0,Male,Yes,100-500,No,Yes,Don't know,Somewhat easy,Rarely,Yes,Yes,no comment,1,2014
24.0,Male,No,6-25,Yes,No,Yes,Don't know,Never,No,No,no comment,0,2014
23.0,Male,No,6-25,No,No,No,Somewhat easy,Sometimes,No,No,no comment,0,2014
30.0,Male,No,100-500,Yes,Yes,Don't know,Somewhat easy,Rarely,No,Yes,no comment,1,2014
29.0,Female,No,100-500,Yes,No,Don't know,Don't know,,Don't know,Not sure,no comment,0,2014
19.0,Male,Yes,1-5,Yes,No,Yes,Somewhat easy,,Don't know,Not sure,no comment,0,2014
32.0,Male,Yes,26-100,Yes,No,Don't know,Very easy,Never,Don't know,Not sure,no comment,0,2014
28.0,Male,No,6-25,Yes,No,Don't know,Don't know,Rarely,No,No,no comment,0,2014
36.0,Male,No,6-25,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
37.0,Male,Yes,More than 1000,No,Yes,Yes,Somewhat difficult,Rarely,Yes,Yes,no comment,1,2014
25.0,Male,Yes,26-100,No,No,Don't know,Somewhat difficult,Sometimes,Don't know,No,no comment,1,2014
27.0,Male,Yes,More than 1000,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
26.0,Male,No,26-100,No,No,Don't know,Don't know,Often,Don't know,Not sure,no comment,0,2014
27.0,Male,No,26-100,Yes,No,Don't know,Somewhat difficult,Rarely,No,Yes,Had a co-worker disappear from work for a few weeks and then come back to let everyone know he was bipolar. His responsibilities and schedule were adjusted to accommodate but he got worse didn't show up didn't work etc and was eventually let go.It was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn't performing.,1,2014
25.0,Male,Yes,26-100,Yes,No,Don't know,Very easy,Sometimes,Don't know,Not sure,Family history of depression.  Currently dealing with depression and anxiety as well as drug addition.Employer provides & pays premiums on insurance which covers therapy and prescriptions.  Employer allows work-from-home and unlimited PTO which makes episodes easier to control.I don't speak of my problems to anyone at work except for the people that I consider friends and even then I don't go into great detail.I would never bring up a mental health issue during an interview for fear of discrimination and rejection (and therefore greater depression).  One co-worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive.,1,2014
36.0,Male,No,More than 1000,No,Yes,Yes,Somewhat easy,Sometimes,Yes,Yes,I feel that my employer and colleagues have created my mental health issue. Additionally I have contributed to this by staying in the same job with the same employer for 10+ years.,1,2014
25.0,Female,Yes,500-1000,Yes,No,Don't know,Don't know,Sometimes,Yes,No,no comment,1,2014
31.0,Male,No,More than 1000,Yes,No,Don't know,Don't know,Never,Yes,No,no comment,0,2014
26.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Rarely,Don't know,No,no comment,0,2014
33.0,Female,Yes,1-5,Yes,Yes,Yes,Very difficult,Sometimes,No,Yes,Many of these questions become irrelevant once 'Yes' is selected for 'Are you self-employed'.  It would be preferable for there to be a 'Not Relevant' option on these.,1,2014
27.0,Female,Yes,1-5,Yes,No,Yes,Somewhat easy,,No,Yes,as a UK-based company we don't have any medical provisions as it's all provided on the National Health Service (for now!) However if we do need to take days off for any kind of health problems everyone is understanding :),0,2014
34.0,Male,No,26-100,Yes,No,Don't know,Very easy,Never,No,No,no comment,0,2014
42.0,Male,No,6-25,Yes,No,Don't know,Very difficult,,No,Yes,no comment,0,2014
23.0,Male,Yes,1-5,Yes,No,Don't know,Very difficult,Sometimes,No,No,no comment,0,2014
24.0,Male,No,100-500,Yes,Yes,Don't know,Very easy,Rarely,Don't know,Not sure,no comment,0,2014
26.0,Male,No,More than 1000,Yes,Don't know,Yes,Somewhat easy,Sometimes,Yes,Yes,My employer employs 17k people worldwide and my previous employer only 140 globally both have been very supportive and accommodating with my moderate depression and intense anxiety.,1,2014
31.0,Male,No,6-25,Yes,No,Don't know,Don't know,Often,Don't know,No,no comment,1,2014
22.0,Male,No,More than 1000,Yes,No,Don't know,Very difficult,Never,Don't know,Not sure,no comment,1,2014
23.0,Female,No,6-25,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
34.0,Female,Yes,More than 1000,No,Yes,Don't know,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
31.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
28.0,Male,No,100-500,No,No,Yes,Somewhat easy,,No,Not sure,no comment,0,2014
32.0,Female,No,6-25,Yes,Don't know,Yes,Very easy,Often,Yes,Not sure,I am not sure about my company's healthcare because I've opted out of it and I'm covered under another policy.I currently work at a great company though in past jobs I don't think I would have felt comfortable talking about mental health at all.,1,2014
45.0,Female,No,1-5,Yes,No,Yes,Somewhat difficult,Sometimes,Yes,No,In small startups it is very hard to keep mental health issues truly private no matter what management does.,1,2014
33.0,Male,No,6-25,Yes,No,Don't know,Very easy,,Don't know,No,A close family member of mine struggles with mental health so I try not to stigmatize it. My employers/coworkers also seem compassionate toward any kind of health or family needs.,0,2014
29.0,Male,No,6-25,Yes,No,No,Don't know,Never,No,No,no comment,0,2014
26.0,Female,No,6-25,No,No,Don't know,Somewhat easy,Sometimes,No,No,no comment,0,2014
28.0,Female,No,26-100,Yes,No,Yes,Somewhat easy,Never,Don't know,No,no comment,0,2014
45.0,Male,No,More than 1000,Yes,Don't know,Don't know,Don't know,Sometimes,Don't know,Not sure,no comment,1,2014
43.0,Male,Yes,More than 1000,Yes,No,Don't know,Very difficult,Often,Yes,Not sure,no comment,1,2014
37.0,Male,No,500-1000,Yes,No,Don't know,Don't know,,Yes,No,no comment,0,2014
24.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,Sometimes,Don't know,No,no comment,0,2014
26.0,Male,No,6-25,Yes,No,Don't know,Somewhat easy,,No,Yes,no comment,0,2014
23.0,Male,Yes,1-5,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
35.0,Female,Yes,More than 1000,Yes,Don't know,Yes,Somewhat easy,Never,Yes,Not sure,no comment,1,2014
38.0,Female,Yes,1-5,Yes,No,Yes,Somewhat easy,Often,No,Yes,no comment,1,2014
28.0,Male,Yes,26-100,Yes,No,Don't know,Somewhat easy,Sometimes,Yes,No,no comment,1,2014
28.0,Male,No,26-100,Yes,No,Don't know,Don't know,Sometimes,No,No,no comment,0,2014
35.0,Male,No,6-25,Yes,No,Yes,Don't know,Rarely,No,No,no comment,1,2014
32.0,Female,No,100-500,Yes,No,Don't know,Very difficult,Sometimes,No,No,Too many people even especially IT considered mental health issues as a choice or something people can freely act about. You are depressed: take vacation. You feel weird: admit it is physical (otherwise it is not serious) go and see a doctor (and if you are on sick leave too many days you will get fired). You don't feel good today: take a holiday but don't work from home. In startup there is what I call the tyranny of happiness: you have to look happy to be accepted and to be worked with. At some point playing a role can definitely make the mental health issue worse and it is also a threat to diversity :(I don't like to call mental health issues an issue but actually when it comes to company field it too often becomes an issue and this is sad because working is sometimes better than medication. It is a vicious circle: people are scared of speaking about it so they don't inform their coworkers about what mental health is for real and so coworkers are so scared on a regular basis that the people with mental health issues keep it for themselves. ,0,2014
31.0,Other,Yes,6-25,Yes,No,Don't know,Somewhat easy,Never,No,No,no comment,0,2014
35.0,Female,No,500-1000,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
26.0,Male,No,More than 1000,Yes,No,Yes,Somewhat easy,Rarely,Yes,No,no comment,0,2014
27.0,Male,Yes,6-25,Yes,No,Don't know,Somewhat easy,,Yes,Yes,no comment,0,2014
28.0,Male,Yes,More than 1000,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
27.0,Female,Yes,26-100,Yes,No,Don't know,Very easy,Sometimes,Yes,No,My seniority at the company and rapport with the owners has helped me gain support for seeking help regarding my mental health as well as being able to take time off or work from home when an episode starts.However I don't feel that the company's stance on mental health is as clear as say something like vision or dental.  There's very much a stigma.,1,2014
34.0,Female,No,500-1000,No,Yes,Yes,Somewhat easy,Sometimes,Yes,Yes,no comment,1,2014
41.0,Male,No,6-25,Yes,No,Don't know,Very difficult,Often,No,Not sure,no comment,1,2014
37.0,Male,No,1-5,Yes,No,Don't know,Very difficult,Sometimes,No,Yes,When you are an introvert people don't notice if you are depressed. Its a vicious cycle of sorts.,0,2014
34.0,Male,Yes,100-500,Yes,Don't know,Don't know,Very easy,,Don't know,No,no comment,0,2014
32.0,Male,Yes,100-500,Yes,No,Don't know,Somewhat difficult,Sometimes,Don't know,Not sure,I've answered 'Yes' on remote working but 50% is the maximum time we're allowed.The branch of the company I work for doesn't offer any medical benefits. It's not as common in the UK as we have the NHS for the moment. There are international branches that may so I've answered 'Don't know'.,1,2014
21.0,Male,No,6-25,Yes,No,Don't know,Somewhat difficult,Sometimes,No,Yes,no comment,1,2014
30.0,Male,No,26-100,Yes,No,Yes,Somewhat easy,Often,No,Yes,no comment,1,2014
24.0,Male,No,26-100,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
26.0,Male,No,100-500,Yes,No,No,Very easy,,No,No,no comment,0,2014
40.0,Female,No,26-100,Yes,Yes,Yes,Somewhat easy,,Yes,Yes,no comment,0,2014
37.0,Male,Yes,26-100,No,No,Don't know,Don't know,Sometimes,No,No,no comment,0,2014
26.0,Male,No,1-5,Yes,No,Don't know,Don't know,Often,No,No,no comment,1,2014
32.0,Female,Yes,6-25,Yes,No,No,Don't know,Sometimes,Don't know,No,no comment,1,2014
32.0,Female,No,100-500,No,Don't know,Yes,Very easy,Sometimes,Yes,Yes,no comment,1,2014
27.0,Female,Yes,1-5,Yes,Don't know,Don't know,Very difficult,Sometimes,No,No,Many of these questions were difficult to answer as a self-employed person; I did my best with the available options.,1,2014
30.0,Male,No,6-25,Yes,No,Yes,Very difficult,Often,Yes,Yes,I tried to answer as good as possible but I am CEO of a company so many questions don't fit very well.Also many of the questions are very US-centric in most systems healthcare is not your employers business.,1,2014
31.0,Male,No,6-25,Yes,No,Yes,Very easy,,Yes,Yes,no comment,0,2014
29.0,Female,No,500-1000,No,No,Don't know,Somewhat difficult,Never,Yes,No,no comment,1,2014
41.0,Other,No,26-100,Yes,No,Don't know,Very easy,,Yes,Not sure,no comment,0,2014
34.0,Female,No,6-25,Yes,No,Don't know,Somewhat easy,,Yes,No,One of my coworkers has mental health issues and she's open about them (eg: my enjoyment of this project may be due to my recent change in meds). I believe the response has been generally supportive. We're a very small tight-knit company.,0,2014
33.0,Male,No,26-100,Yes,No,Don't know,Don't know,,Don't know,No,no comment,0,2014
28.0,Male,No,6-25,Yes,No,Don't know,Don't know,Rarely,Don't know,No,no comment,0,2014
28.0,Male,No,More than 1000,Yes,No,Yes,Very difficult,Sometimes,No,Yes,no comment,1,2014
23.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,Never,Don't know,Not sure,A strong mind goes a long way. Stay strong. Take some time off to help. Its all in your head. ,0,2014
24.0,Male,No,1-5,Yes,Don't know,Yes,Very easy,,Don't know,No,Would you bring up a mental health issue with a potential employer in an interview?Poignant.,0,2014
